This is grade of class5
         StdID  Mark
0    N00000641    92
1    N00000642    61
2    N00000643    75
3    N00000644    82
4    N00000645    64
5    N00000646    87
6    N00000647    77
7    N00000648    76
8    N00000649    86
9    N00000650    91
10   N00000651    83
11   N00000652    70
12   N00000653    63
13   N00000654    81
14   N00000655    68
15   N00000656    81
16   N00000657    66
17   N00000658    79
18   N00000659    68
19   N00000660    71
20   N00000661    55
21   N00000662    78
22   N00000663    82
23   N00000664    67
24   N00000665    92
25   N00000666    82
26   N00000667    77
27   N00000668    65
28   N00000669    88
29   N00000670    69
30   N00000671    78
31   N00000672    73
32   N00000673   100
33   N00000674    82
34   N00000675    81
35   N00000676    74
36   N00000677    83
37   N00000678    76
38   N00000679    79
39   N00000680    90
40   N00000681    85
41   N00000682    74
42   N00000683    82
43   N00000684    82
44   N00000685    77
45   N00000686    82
46   N00000687    81
47   N00000688    87
48   N00000689    80
49   N00000690    87
50   N00000691    60
51   N00000692    78
52   N00000693    79
53   N00000694    71
54   N00000695    82
55   N00000696    85
56   N00000697    69
57   N00000698    67
58   N00000699    77
59   N00000700    81
60   N00000701    68
61   N00000702    79
62   N00000703    73
63   N00000704    81
64   N00000705    91
65   N00000706    56
66   N00000707    87
67   N00000708    90
68   N00000709    73
69   N00000710    86
70   N00000711    85
71   N00000712    66
72   N00000713    73
73   N00000714    88
74   N00000715    73
75   N00000716    74
76   N00000717    82
77   N00000718    81
78   N00000719    65
79   N00000720    79
80   N00000721    78
81   N00000722    78
82   N00000723    92
83   N00000724    74
84   N00000725    77
85   N00000726    80
86   N00000727    86
87   N00000728    80
88   N00000729    96
89   N00000730    59
90   N00000731    87
91   N00000732    73
92   N00000733    67
93   N00000734    60
94   N00000735    65
95   N00000736    74
96   N00000737    82
97   N00000738    78
98   N00000739    68
99   N00000740    86
100  N00000741    73
101  N00000742    66
102  N00000743    77
103  N00000744    67
104  N00000745    91
105  N00000746    83
106  N00000747    75
107  N00000748    68
108  N00000749    87
109  N00000750    69
110  N00000751    72
111  N00000752    76
112  N00000753    40
113  N00000754    77
114  N00000755    70
115  N00000756    72
116  N00000757    77
117  N00000758    66
118  N00000759    82
119  N00000760    59
120  N00000761    73
121  N00000762    86
122  N00000763    73
123  N00000764    83
124  N00000765    90
125  N00000766    60
126  N00000767    69
127  N00000768    72
128  N00000769    77
129  N00000770    68
130  N00000771    86
131  N00000772    80
132  N00000773    69
133  N00000774    82
134  N00000775    73
135  N00000776    90
136  N00000777    83
137  N00000778    87
138  N00000779    53
139  N00000780    67
140  N00000781    85
141  N00000782    63
142  N00000783    72
143  N00000784    66
144  N00000785    78
145  N00000786    86
146  N00000787    73
147  N00000788    73
148  N00000789    82
149  N00000790    73
150  N00000791    68
151  N00000792    73
152  N00000793    66
153  N00000794    74
154  N00000795    82
155  N00000796    64
156  N00000797    77
157  N00000798    67
158  N00000799    76
159  N00000800    63
160  N00000801    84
161  N00000802    82
162  N00000803    68
163  N00000804    82
164  N00000805    68
165  N00000806    87
166  N00000807    79
167  N00000808    82
168  N00000809    90
169  N00000810    83
170  N00000811    78
171  N00000812    77
172  N00000813    83
173  N00000814    67
174  N00000815    69
175  N00000816    73
176  N00000817    82
177  N00000818    82
178  N00000819    81
179  N00000820    82
180  N00000821    78
181  N00000822    76
182  N00000823    64
183  N00000824    71
184  N00000825    73
185  N00000826    72
186  N00000827    84
187  N00000828    76
188  N00000829    73
189  N00000830    64
190  N00000831    71
191  N00000832    69
192  N00000833    75
193  N00000834    72
194  N00000835    86
195  N00000836    86
196  N00000837    73
197  N00000838    82
198  N00000839    72
199  N00000840    87
200  N00000841    79
201  N00000842    67
202  N00000843    67
203  N00000844    81
204  N00000845    69
205  N00000846    70
206  N00000847    91
207  N00000848    77
208  N00000849    72
209  N00000850    76
210  N00000851    83
211  N00000852    82
212  N00000853    80
213  N00000854    83
214  N00000855    78
215  N00000856    82
216  N00000857    87
217  N00000858    74
218  N00000859    70
219  N00000860    96
220  N00000861    74
221  N00000862    70
222  N00000863    63
223  N00000864    74
224  N00000865    75
225  N00000866    83
226  N00000867    73
227  N00000868    88
228  N00000869    69
229  N00000870    78
230  N00000871    56
231  N00000872    74
232  N00000873    82
233  N00000874    61
234  N00000875    77
235  N00000876    63
236  N00000877    92
237  N00000878    88
238  N00000879    72
239  N00000880    76
240  N00000881    79
241  N00000882    78
242  N00000883    86
243  N00000884    80
244  N00000885    77
245  N00000886    61
246  N00000887    84
247  N00000888    77
248  N00000889    66
249  N00000890    77
250  N00000891    66
251  N00000892    81
252  N00000893    81
253  N00000894    95
254  N00000895    91
255  N00000896    81
256  N00000897    83
257  N00000898    75
258  N00000899    78
259  N00000900    78
260  N00000901    77
261  N00000902    68
262  N00000903    83
263  N00000904    53
264  N00000905    82
265  N00000906    75
266  N00000907    85
267  N00000908    81
268  N00000909    73
269  N00000910    75
270  N00000911    82
271  N00000912    92
272  N00000913    83
273  N00000914    68
274  N00000915    79
275  N00000916    86
276  N00000917    61
277  N00000918    78
278  N00000919    74
279  N00000920    70
280  N00000921    91
281  N00000922    77
282  N00000923    78
283  N00000924    79
284  N00000925    66
285  N00000926    77
286  N00000927    69
287  N00000928    91
288  N00000929    83
289  N00000930    76
290  N00000931    82
291  N00000932    86
292  N00000933    67
293  N00000934    77
294  N00000935    87
295  N00000936    67
296  N00000937    88
297  N00000938    92
298  N00000939    72
299  N00000940    72
300  N00000941    67
301  N00000942    52
302  N00000943    87
303  N00000944    72
304  N00000945    73
305  N00000946    68
306  N00000947    58
307  N00000948    92
308  N00000949    81
309  N00000950    66
310  N00000951    60
311  N00000952    73
312  N00000953    52
313  N00000954    77
314  N00000955    66
315  N00000956    81
316  N00000957    58
317  N00000958    57
318  N00000959    77
319  N00000960    63
320  N00000961    75
321  N00000962    50
322  N00000963    72
323  N00000964    69
324  N00000965    57
325  N00000966    69
326  N00000967    86
327  N00000968    67
328  N00000969    64
329  N00000970    71
330  N00000971    70
331  N00000972    86
332  N00000973    86
333  N00000974    68
334  N00000975    87
335  N00000976    87
336  N00000977    78
337  N00000978    73
338  N00000979    81
339  N00000980    77
340  N00000981    82
341  N00000982    70
