This is grade of class3
        StdID  Mark
0   N00000046    83
1   N00000047    59
2   N00000048    86
3   N00000049    78
4   N00000050    58
5   N00000051    72
6   N00000052    82
7   N00000053    80
8   N00000054    61
9   N00000055    71
10  N00000056    59
11  N00000057    80
12  N00000058    77
13  N00000059    73
14  N00000060    72
15  N00000061    72
16  N00000062    77
17  N00000063    86
18  N00000064    68
19  N00000065    78
20  N00000066    87
21  N00000067    73
22  N00000068    63
23  N00000069    87
24  N00000070    87
25  N00000071    72
26  N00000072    77
27  N00000073    83
28  N00000074    79
29  N00000075    86
30  N00000076    86
31  N00000077    69
32  N00000078    82
33  N00000079    73
34  N00000080    81
35  N00000081    64
36  N00000082    91
37  N00000083    85
38  N00000084    86
39  N00000085    71
40  N00000086    83
41  N00000087    81
42  N00000088    79
43  N00000089    86
44  N00000090    65
45  N00000091    63
46  N00000092    80
47  N00000093    72
48  N00000094    73
49  N00000095    96
50  N00000096    77
51  N00000097    86
52  N00000098    68
53  N00000099    86
54  N00000100    76
55  N00000101    82
56  N00000102    69
57  N00000103    77
58  N00000104    82
59  N00000105    86
60  N00000106    85
61  N00000107    63
62  N00000108    82
63  N00000109    56
64  N00000110    78
65  N00000111    62
66  N00000112    74
67  N00000113    69
68  N00000114    77
69  N00000115    59
70  N00000116    82
71  N00000117    79
72  N00000118    81
73  N00000119    88
74  N00000120    82
75  N00000121    64
76  N00000122    73
77  N00000123    73
78  N00000124    87
79  N00000125    58
80  N00000126    87
81  N00000127    76
82  N00000128    62
83  N00000129    76
84  N00000130    78
85  N00000131    70
86  N00000132    96
87  N00000133    65
88  N00000134    82
89  N00000135    67
90  N00000136    68
91  N00000137    82
92  N00000138    81
93  N00000139    72
94  N00000140    73
95  N00000141    73
96  N00000142    87
97  N00000143    75
98  N00000144    80
99  N00000145    81
