This is grade of class4
         StdID  Mark
0    N00000146    86
1    N00000147    78
2    N00000148    90
3    N00000149    78
4    N00000150    68
5    N00000151    79
6    N00000152    92
7    N00000153    78
8    N00000154    64
9    N00000155    78
10   N00000156    81
11   N00000157    69
12   N00000158    71
13   N00000159    72
14   N00000160    58
15   N00000161    88
16   N00000162    64
17   N00000163    67
18   N00000164    83
19   N00000165    63
20   N00000166    81
21   N00000167    81
22   N00000168    77
23   N00000169    83
24   N00000170    87
25   N00000171    73
26   N00000172    88
27   N00000173    44
28   N00000174    86
29   N00000175    73
30   N00000176    65
31   N00000177    69
32   N00000178    86
33   N00000179    81
34   N00000180    86
35   N00000181    69
36   N00000182    74
37   N00000183    79
38   N00000184    66
39   N00000185    70
40   N00000186    74
41   N00000187    71
42   N00000188    55
43   N00000189    96
44   N00000190    78
45   N00000191    76
46   N00000192    87
47   N00000193    77
48   N00000194    68
49   N00000195    72
50   N00000196    73
51   N00000197    69
52   N00000198    88
53   N00000199    87
54   N00000200    72
55   N00000201    73
56   N00000202   100
57   N00000203    86
58   N00000204    61
59   N00000205    73
60   N00000206    73
61   N00000207    92
62   N00000208    73
63   N00000209    77
64   N00000210    77
65   N00000211    74
66   N00000212    83
67   N00000213    87
68   N00000214    87
69   N00000215    69
70   N00000216    65
71   N00000217    72
72   N00000218    86
73   N00000219    79
74   N00000220    66
75   N00000221    79
76   N00000222    53
77   N00000223    71
78   N00000224    79
79   N00000225    67
80   N00000226    67
81   N00000227    77
82   N00000228    67
83   N00000229    75
84   N00000230    90
85   N00000231    75
86   N00000232    87
87   N00000233    85
88   N00000234    79
89   N00000235    64
90   N00000236    69
91   N00000237    58
92   N00000238    74
93   N00000239    73
94   N00000240    63
95   N00000241    63
96   N00000242    67
97   N00000243    82
98   N00000244    77
99   N00000245    70
100  N00000246    69
101  N00000247    76
102  N00000248    62
103  N00000249    82
104  N00000250    86
105  N00000251    75
106  N00000252    72
107  N00000253    82
108  N00000254    74
109  N00000255    78
110  N00000256    82
111  N00000257    96
112  N00000258    49
113  N00000259    91
114  N00000260    77
115  N00000261    82
116  N00000262    85
117  N00000263    61
118  N00000264    92
119  N00000265    85
120  N00000266    80
121  N00000267    55
122  N00000268    77
123  N00000269    67
124  N00000270    81
125  N00000271    86
126  N00000272    62
127  N00000273    60
128  N00000274    65
129  N00000275    74
130  N00000276    82
131  N00000277    79
132  N00000278    72
133  N00000279    59
134  N00000280    69
135  N00000281    61
136  N00000282    77
137  N00000283   100
138  N00000284    77
139  N00000285    87
140  N00000286    71
141  N00000287    77
142  N00000288    57
143  N00000289    81
144  N00000290    78
145  N00000291    77
146  N00000292    92
147  N00000293    73
148  N00000294    83
149  N00000295    58
150  N00000296    68
151  N00000297    81
152  N00000298    96
153  N00000299    84
154  N00000300    74
155  N00000301    72
156  N00000302    82
157  N00000303    92
158  N00000304    68
159  N00000305    69
160  N00000306    73
161  N00000307    86
162  N00000308    68
163  N00000309    68
164  N00000310    85
165  N00000311    73
166  N00000312    95
167  N00000313    73
168  N00000314    76
169  N00000315    72
170  N00000316    75
171  N00000317    67
172  N00000318    69
173  N00000319    84
174  N00000320    73
175  N00000321    74
176  N00000322    96
177  N00000323    69
178  N00000324    86
179  N00000325    72
180  N00000326    69
181  N00000327    74
182  N00000328    87
183  N00000329    96
184  N00000330    78
185  N00000331    72
186  N00000332    78
187  N00000333    72
188  N00000334    78
189  N00000335    57
190  N00000336    91
191  N00000337    74
192  N00000338    77
193  N00000339    81
194  N00000340    80
195  N00000341    81
196  N00000342    83
197  N00000343    87
198  N00000344    83
199  N00000345    86
200  N00000346    65
201  N00000347    87
202  N00000348    72
203  N00000349    63
204  N00000350    72
205  N00000351    78
206  N00000352    74
207  N00000353    64
208  N00000354    68
209  N00000355    73
210  N00000356    78
211  N00000357    90
212  N00000358    74
